date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2016/6/17,2016-09,6300,call,0,0,0,0,1940,0,0,Friday
2016/6/17,2016-09,6300,put,11.5,11.5,11.5,11.5,11.5,10,10,Friday
2016/6/17,2016-09,6400,call,1830,1830,1830,1830,1840,1,75,Friday
2016/6/17,2016-09,6400,put,13.5,15.5,13.5,13.5,13.5,22,2724,Friday
2016/6/17,2016-09,6500,call,0,0,0,0,1740,0,0,Friday
2016/6/17,2016-09,6500,put,18.5,18.5,16,17,17,8,35,Friday
2016/6/17,2016-09,6600,call,0,0,0,0,1640,0,20,Friday
2016/6/17,2016-09,6600,put,20,20,17.5,17.5,17.5,544,2162,Friday
2016/6/17,2016-09,6700,call,0,0,0,0,1550,0,0,Friday
2016/6/17,2016-09,6700,put,22,24,20.5,23,23,33,100,Friday
2016/6/17,2016-09,6800,call,0,0,0,0,1450,0,48,Friday
2016/6/17,2016-09,6800,put,27,29,24.5,26.5,26.5,250,5094,Friday
2016/6/17,2016-09,6900,call,0,0,0,0,1360,0,0,Friday
2016/6/17,2016-09,6900,put,31,32,29.5,31,31,29,44,Friday
2016/6/17,2016-09,7e3,call,0,0,0,0,1260,0,52,Friday
2016/6/17,2016-09,7e3,put,41.5,41.5,34,37,37,1014,3818,Friday
2016/6/17,2016-09,7100,call,0,0,0,0,1170,0,0,Friday
2016/6/17,2016-09,7100,put,0,0,0,0,46,0,34,Friday
2016/6/17,2016-09,7200,call,1080,1080,1080,1080,1080,1,88,Friday
2016/6/17,2016-09,7200,put,55,57,49,52,52,614,3591,Friday
2016/6/17,2016-09,7300,call,0,0,0,0,985,0,0,Friday
2016/6/17,2016-09,7300,put,66,67,64,64,64,121,96,Friday
2016/6/17,2016-09,7400,call,0,0,0,0,900,0,110,Friday
2016/6/17,2016-09,7400,put,77,79,69,73,73,314,2506,Friday
2016/6/17,2016-09,7500,call,0,0,0,0,820,0,0,Friday
2016/6/17,2016-09,7500,put,92,92,82,90,90,68,71,Friday
2016/6/17,2016-09,7600,call,745,745,745,745,735,2,171,Friday
2016/6/17,2016-09,7600,put,107,108,97,108,108,123,2966,Friday
2016/6/17,2016-09,7700,call,0,0,0,0,645,0,0,Friday
2016/6/17,2016-09,7700,put,118,122,113,122,122,15,21,Friday
2016/6/17,2016-09,7800,call,575,575,575,575,570,2,230,Friday
2016/6/17,2016-09,7800,put,148,148,132,145,145,25,2085,Friday
2016/6/17,2016-09,7900,call,0,0,0,0,499,0,50,Friday
2016/6/17,2016-09,7900,put,163,171,160,171,171,12,12,Friday
2016/6/17,2016-09,8e3,call,373,439,373,425,425,67,843,Friday
2016/6/17,2016-09,8e3,put,205,212,183,192,196,115,1943,Friday
2016/6/17,2016-09,8100,call,0,0,0,0,358,0,3,Friday
2016/6/17,2016-09,8100,put,240,240,213,213,229,175,475,Friday
2016/6/17,2016-09,8200,call,275,313,275,291,291,165,1248,Friday
2016/6/17,2016-09,8200,put,296,296,250,265,265,216,1382,Friday
2016/6/17,2016-09,8300,call,253,253,253,253,244,25,25,Friday
2016/6/17,2016-09,8300,put,325,325,297,315,315,15,13,Friday
2016/6/17,2016-09,8400,call,165,204,165,193,193,19,2634,Friday
2016/6/17,2016-09,8400,put,380,380,350,365,365,17,284,Friday
2016/6/17,2016-09,8500,call,118,160,118,146,146,19,48,Friday
2016/6/17,2016-09,8500,put,448,448,405,405,416,2,2,Friday
2016/6/17,2016-09,8600,call,101,124,101,111,111,428,4218,Friday
