date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2017/10/25,Dec-17,11300,call,12,13.5,10.5,10.5,10.5,662,7105,Wednesday
2017/10/25,Dec-17,11400,call,6.6,7.5,5.8,6,6,437,3830,Wednesday
2017/10/25,Dec-17,11500,call,4,4.5,3.6,3.6,3.6,272,1061,Wednesday
2017/10/25,Dec-17,11600,call,2.7,2.9,2.5,2.5,2.5,260,5714,Wednesday
2017/10/25,Dec-17,11700,call,1.8,1.8,1.8,1.8,1.8,28,495,Wednesday
2017/10/25,Dec-17,11800,call,1.5,1.5,1.5,1.5,1.4,5,1939,Wednesday
2017/10/25,Dec-17,11900,call,1.2,1.2,1.2,1.2,1.2,21,339,Wednesday
2017/10/25,Dec-17,12100,call,0.9,0.9,0.9,0.9,0.9,1,147,Wednesday
2017/10/25,Dec-17,12600,call,0.4,0.4,0.4,0.4,0.4,1,163,Wednesday
2017/10/26,Dec-17,7600,put,0.7,0.7,0.7,0.7,0.7,5,7429,Thursday
2017/10/26,Dec-17,7700,put,0.8,0.8,0.8,0.8,0.8,5,270,Thursday
2017/10/26,Dec-17,7800,put,1,1,0.9,0.9,0.9,49,2015,Thursday
2017/10/26,Dec-17,7900,put,1.2,1.2,1,1.1,1.1,35,394,Thursday
2017/10/26,Dec-17,8.00E+03,put,1.4,1.4,1.2,1.3,1.3,33,3808,Thursday
2017/10/26,Dec-17,8100,put,1.4,1.4,1.4,1.4,1.4,20,429,Thursday
2017/10/26,Dec-17,8200,put,1.6,1.7,1.4,1.7,1.7,124,2170,Thursday
2017/10/26,Dec-17,8400,put,2,2.1,2,2.1,2.1,71,4645,Thursday
2017/10/26,Dec-17,8500,put,2.3,2.3,2.2,2.2,2.2,40,1142,Thursday
2017/10/26,Dec-17,8600,put,2.4,2.4,2.4,2.4,2.4,26,8416,Thursday
2017/10/26,Dec-17,8700,put,2.7,2.9,2.6,2.9,2.9,201,1928,Thursday
2017/10/26,Dec-17,8800,put,3.3,3.4,2.9,3.4,3.4,115,24278,Thursday
2017/10/26,Dec-17,8900,put,3.7,3.8,3.7,3.8,3.8,251,963,Thursday
2017/10/26,Dec-17,9.00E+03,put,4.2,4.5,4.1,4.5,4.5,598,19604,Thursday
2017/10/26,Dec-17,9100,put,5.1,5.1,5.1,5.1,5.1,104,2658,Thursday
2017/10/26,Dec-17,9200,put,6,6.2,5.6,6,6,212,12607,Thursday
2017/10/26,Dec-17,9300,put,7.8,8.1,7,7.2,7.2,763,11464,Thursday
2017/10/26,Dec-17,9400,put,9.2,9.2,8.3,8.5,8.5,190,17687,Thursday
2017/10/26,Dec-17,9500,put,10.5,11,9.9,10,10,151,5813,Thursday
2017/10/26,Dec-17,9600,put,12,13,11.5,11.5,11.5,194,10275,Thursday
2017/10/26,Dec-17,9700,put,15,16,14,14.5,14.5,440,5895,Thursday
2017/10/26,Dec-17,9800,call,935,940,935,940,940,3,1022,Thursday
2017/10/26,Dec-17,9800,put,18.5,19.5,17,17.5,17.5,307,9463,Thursday
2017/10/26,Dec-17,9900,put,22.5,24.5,21.5,22,22,828,6872,Thursday
2017/10/26,Dec-17,1.00E+04,call,725,770,720,760,745,26,1560,Thursday
2017/10/26,Dec-17,1.00E+04,put,29,31,27,28,28,1955,13150,Thursday
2017/10/26,Dec-17,10100,put,36.5,39,34,35,35,735,7590,Thursday
2017/10/26,Dec-17,10200,call,555,575,555,575,565,4,1136,Thursday
2017/10/26,Dec-17,10200,put,47,50,43.5,46.5,46.5,797,8485,Thursday
2017/10/26,Dec-17,10300,call,466,466,466,466,474,1,585,Thursday
2017/10/26,Dec-17,10300,put,60,64,55,57,57,815,5890,Thursday
2017/10/26,Dec-17,10400,call,386,413,373,393,393,58,6666,Thursday
