date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014/9/16,2014-12,6800,call,0,0,0,0,2350,0,1256,Tuesday
2014/9/16,2014-12,6800,put,1.1,1.1,1.1,1.1,2.1,1,6302,Tuesday
2014/9/16,2014-12,7000,call,0,0,0,0,2150,0,2,Tuesday
2014/9/16,2014-12,7000,put,4.5,4.5,3,3,3,2,3573,Tuesday
2014/9/16,2014-12,7200,call,0,0,0,0,1950,0,1,Tuesday
2014/9/16,2014-12,7200,put,5,5.3,3.3,3.3,3.3,8,8731,Tuesday
2014/9/16,2014-12,7400,call,0,0,0,0,1750,0,3,Tuesday
2014/9/16,2014-12,7400,put,5.1,5.8,5.1,5.3,5.3,111,4213,Tuesday
2014/9/16,2014-12,7600,call,0,0,0,0,1550,0,65,Tuesday
2014/9/16,2014-12,7600,put,8.7,9.3,7.9,9.2,9.2,44,3693,Tuesday
2014/9/16,2014-12,7800,call,1440,1440,1440,1440,1350,3,42,Tuesday
2014/9/16,2014-12,7800,put,11,13,11,13,13,13,5262,Tuesday
2014/9/16,2014-12,8000,call,1230,1230,1230,1230,1160,3,84,Tuesday
2014/9/16,2014-12,8000,put,15,17.5,15,17.5,17.5,220,5187,Tuesday
2014/9/16,2014-12,8200,call,1050,1050,1050,1050,970,4,164,Tuesday
2014/9/16,2014-12,8200,put,23,26.5,23,26.5,26.5,48,6196,Tuesday
2014/9/16,2014-12,8400,call,800,800,800,800,780,2,358,Tuesday
2014/9/16,2014-12,8400,put,32.5,41.5,32.5,39,39,82,5448,Tuesday
2014/9/16,2014-12,8600,call,640,640,605,605,605,38,572,Tuesday
2014/9/16,2014-12,8600,put,57,68,56,63,63,1035,7506,Tuesday
2014/9/16,2014-12,8800,call,490,510,460,498,498,30,1161,Tuesday
2014/9/16,2014-12,8800,put,93,110,93,105,105,301,4912,Tuesday
2014/9/16,2014-12,9000,call,350,353,320,320,320,8,1724,Tuesday
2014/9/16,2014-12,9000,put,154,175,151,173,173,394,5021,Tuesday
2014/9/16,2014-12,9200,call,245,252,210,215,215,149,4937,Tuesday
2014/9/16,2014-12,9200,put,235,265,235,264,264,352,2623,Tuesday
2014/9/16,2014-12,9400,call,160,160,130,132,132,1859,7586,Tuesday
2014/9/16,2014-12,9400,put,360,375,353,372,372,55,1779,Tuesday
2014/9/16,2014-12,9600,call,95,95,76,76,76,425,14275,Tuesday
2014/9/16,2014-12,9600,put,472,472,472,472,520,2,2373,Tuesday
